xpath,versions,description
/IRS990/AccountantCompileOrReview,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AccountantCompileOrReview] Accountant provide compilation or review?
/IRS990/AccountantCompileOrReviewBasis/FinancialStatementBoth,2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AccountantCompileOrReviewBasis] Basis in which the financial statements were compiled or reviewed by independent accountant; [FinancialStatementBoth] Financial statement issued on consolidated and separate basis
/IRS990/AccountantCompileOrReviewBasis/FinancialStatementConsolidated,2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AccountantCompileOrReviewBasis] Basis in which the financial statements were compiled or reviewed by independent accountant; [FinancialStatementConsolidated] Financial statement issued on consolidated basis
/IRS990/AccountantCompileOrReviewBasis/FinancialStatementSeparate,2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AccountantCompileOrReviewBasis] Basis in which the financial statements were compiled or reviewed by independent accountant; [FinancialStatementSeparate] Financial statement issued on separate basis
/IRS990/AccountantCompileOrReviewInd,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AccountantCompileOrReviewInd] Accountant provide compilation or review?
/IRS990/AccountsPayableAccrExpnssGrp/BOYAmt,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AccountsPayableAccrExpnssGrp] Accounts payable and accrued expenses; [BOYAmt] Beginnning of year
/IRS990/AccountsPayableAccrExpnssGrp/EOYAmt,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AccountsPayableAccrExpnssGrp] Accounts payable and accrued expenses; [EOYAmt] Ending of year
/IRS990/AccountsPayableAccruedExpenses/BOY,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AccountsPayableAccruedExpenses] Accounts payable and accrued expenses; [BOY] Beginnning of year
/IRS990/AccountsPayableAccruedExpenses/EOY,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AccountsPayableAccruedExpenses] Accounts payable and accrued expenses; [EOY] Ending of year
/IRS990/AccountsReceivable/BOY,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,"[AccountsReceivable] Accounts receivable, net; [BOY] Beginnning of year"
/IRS990/AccountsReceivable/EOY,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,"[AccountsReceivable] Accounts receivable, net; [EOY] Ending of year"
/IRS990/AccountsReceivableGrp/BOYAmt,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,"[AccountsReceivableGrp] Accounts receivable, net; [BOYAmt] Beginnning of year"
/IRS990/AccountsReceivableGrp/EOYAmt,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,"[AccountsReceivableGrp] Accounts receivable, net; [EOYAmt] Ending of year"
/IRS990/AcctCompileOrReviewBasisGrp/ConsolAndSepBasisFinclStmtInd,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AcctCompileOrReviewBasisGrp] Basis in which the financial statements were compiled or reviewed by independent accountant; [ConsolAndSepBasisFinclStmtInd] Financial statement issued on consolidated and separate basis
/IRS990/AcctCompileOrReviewBasisGrp/ConsolidatedBasisFinclStmtInd,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AcctCompileOrReviewBasisGrp] Basis in which the financial statements were compiled or reviewed by independent accountant; [ConsolidatedBasisFinclStmtInd] Financial statement issued on consolidated basis
/IRS990/AcctCompileOrReviewBasisGrp/SeparateBasisFinclStmtInd,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AcctCompileOrReviewBasisGrp] Basis in which the financial statements were compiled or reviewed by independent accountant; [SeparateBasisFinclStmtInd] Financial statement issued on separate basis
/IRS990/ActivitiesConductedPartnership,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[ActivitiesConductedPartnership] Activities conducted thru partnership?
/IRS990/ActivitiesConductedPrtshpInd,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[ActivitiesConductedPrtshpInd] Activities conducted thru partnership?
/IRS990/Activity2/ActivityCode,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[Activity2] Second activity group; [ActivityCode] Activity code
/IRS990/Activity2/Description,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[Activity2] Second activity group; [Description] Description
/IRS990/Activity2/Expense,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[Activity2] Second activity group; [Expense] Expense
/IRS990/Activity2/Grants,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[Activity2] Second activity group; [Grants] Grants
/IRS990/Activity2/Revenue,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[Activity2] Second activity group; [Revenue] Revenue
/IRS990/Activity3/ActivityCode,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[Activity3] Third activity group; [ActivityCode] Activity code
/IRS990/Activity3/Description,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[Activity3] Third activity group; [Description] Description
/IRS990/Activity3/Expense,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[Activity3] Third activity group; [Expense] Expense
/IRS990/Activity3/Grants,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[Activity3] Third activity group; [Grants] Grants
/IRS990/Activity3/Revenue,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[Activity3] Third activity group; [Revenue] Revenue
/IRS990/ActivityCd,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[ActivityCd] Activity code
/IRS990/ActivityCode,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[ActivityCode] Activity code
/IRS990/ActivityOrMissionDesc,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[ActivityOrMissionDesc] Activity or mission description
/IRS990/ActivityOrMissionDescription,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[ActivityOrMissionDescription] Activity or mission description
/IRS990/ActivityOther/ActivityCode,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[ActivityOther] Other activities grouping; [ActivityCode] Activity code
/IRS990/ActivityOther/Description,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[ActivityOther] Other activities grouping; [Description] Description
/IRS990/ActivityOther/Expense,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[ActivityOther] Other activities grouping; [Expense] Expense
