xpath,versions,line_number
/IRS990/AccountantCompileOrReview,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7,[AccountantCompileOrReview] Part XI Line 2a
/IRS990/AccountantCompileOrReview,2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AccountantCompileOrReview] Part XII Line 2a
/IRS990/AccountantCompileOrReviewBasis/FinancialStatementBoth,2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AccountantCompileOrReviewBasis] Part XII Line 2a; [FinancialStatementBoth] Part XII Lines 2a and 2b
/IRS990/AccountantCompileOrReviewBasis/FinancialStatementConsolidated,2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AccountantCompileOrReviewBasis] Part XII Line 2a; [FinancialStatementConsolidated] Part XII Lines 2a and 2b
/IRS990/AccountantCompileOrReviewBasis/FinancialStatementSeparate,2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AccountantCompileOrReviewBasis] Part XII Line 2a; [FinancialStatementSeparate] Part XII Lines 2a and 2b
/IRS990/AccountantCompileOrReviewInd,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AccountantCompileOrReviewInd] Part XII Line 2a
/IRS990/AccountsPayableAccrExpnssGrp/BOYAmt,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AccountsPayableAccrExpnssGrp] Part X Line 17; [BOYAmt] Part X Column (A)
/IRS990/AccountsPayableAccrExpnssGrp/EOYAmt,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AccountsPayableAccrExpnssGrp] Part X Line 17; [EOYAmt] Part X Column (B)
/IRS990/AccountsPayableAccruedExpenses/BOY,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AccountsPayableAccruedExpenses] Part X Line 17; [BOY] Part X Column (A)
/IRS990/AccountsPayableAccruedExpenses/EOY,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AccountsPayableAccruedExpenses] Part X Line 17; [EOY] Part X Column (B)
/IRS990/AccountsReceivable/BOY,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AccountsReceivable] Part X Line 4; [BOY] Part X Column (A)
/IRS990/AccountsReceivable/EOY,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[AccountsReceivable] Part X Line 4; [EOY] Part X Column (B)
/IRS990/AccountsReceivableGrp/BOYAmt,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AccountsReceivableGrp] Part X Line 4; [BOYAmt] Part X Column (A)
/IRS990/AccountsReceivableGrp/EOYAmt,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AccountsReceivableGrp] Part X Line 4; [EOYAmt] Part X Column (B)
/IRS990/AcctCompileOrReviewBasisGrp/ConsolAndSepBasisFinclStmtInd,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AcctCompileOrReviewBasisGrp] Part XII Line 2a; [ConsolAndSepBasisFinclStmtInd] Part XII Lines 2a and 2b
/IRS990/AcctCompileOrReviewBasisGrp/ConsolidatedBasisFinclStmtInd,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AcctCompileOrReviewBasisGrp] Part XII Line 2a; [ConsolidatedBasisFinclStmtInd] Part XII Lines 2a and 2b
/IRS990/AcctCompileOrReviewBasisGrp/SeparateBasisFinclStmtInd,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[AcctCompileOrReviewBasisGrp] Part XII Line 2a; [SeparateBasisFinclStmtInd] Part XII Lines 2a and 2b
/IRS990/ActivitiesConductedPartnership,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[ActivitiesConductedPartnership] Part IV Line 37
/IRS990/ActivitiesConductedPrtshpInd,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0;2016v3.0,[ActivitiesConductedPrtshpInd] Part IV Line 37
/IRS990/Activity2/ActivityCode,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[Activity2] Part III Line 4b; [ActivityCode] Part III
/IRS990/Activity2/Description,2009v1.0;2009v1.1;2009v1.2;2009v1.3;2009v1.4;2009v1.7;2010v3.2;2010v3.4;2010v3.6;2010v3.7;2011v1.2;2011v1.3;2011v1.4;2011v1.5;2012v2.0;2012v2.1;2012v2.2;2012v2.3;2012v3.0,[Activity2] Part III Line 4b; [Description] Part III
