parent_sked,parent_sked_part,in_a_group,db_table,ordering,db_name,xpath,irs_type,db_type,line_number,description,versions
IRS990,part_0,True,SpclCndtnDsc,1,SpclCndtnDsc,/IRS990/SpecialConditionDesc,,Text,, Special condition description,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,2,AddrssChngInd,/IRS990/AddressChangeInd,CheckboxType,String(length=1), B, Indicates this return has an address change,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,3,IntlRtrnInd,/IRS990/InitialReturnInd,CheckboxType,String(length=1), B, Indicates this is an initial return,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,4,FnlRtrnInd,/IRS990/FinalReturnInd,CheckboxType,String(length=1), B, Indicates this return is a terminated return,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,5,AmnddRtrnInd,/IRS990/AmendedReturnInd,CheckboxType,String(length=1), B, Indicates this return is an amended return,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,6,DngBsnssAsNm_BsnssNmLn1Txt,/IRS990/DoingBusinessAsName/BusinessNameLine1,BusinessNameLine1Type,String(length=75), C, Doing business as; Business name line 1,2013v3.0;2013v3.1;2013v4.0
IRS990,part_0,False,part_0,7,DngBsnssAsNm_BsnssNmLn1Txt,/IRS990/DoingBusinessAsName/BusinessNameLine1Txt,BusinessNameLine1Type,String(length=75), C, Doing business as; Business name line 1,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,8,DngBsnssAsNm_BsnssNmLn2Txt,/IRS990/DoingBusinessAsName/BusinessNameLine2,BusinessNameLine2Type,String(length=75), C, Doing business as; Business name line 2,2013v3.0;2013v3.1;2013v4.0
IRS990,part_0,False,part_0,9,DngBsnssAsNm_BsnssNmLn2Txt,/IRS990/DoingBusinessAsName/BusinessNameLine2Txt,BusinessNameLine2Type,String(length=75), C, Doing business as; Business name line 2,2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
IRS990,part_0,False,part_0,10,GrssRcptsAmt,/IRS990/GrossReceiptsAmt,USAmountNNType,BigInteger, G, Gross receipts,2013v3.0;2013v3.1;2013v4.0;2014v5.0;2014v6.0;2015v2.0;2015v2.1;2015v3.0
