object_id,form,line_number,description,value,variable_name,xpath,in_group,group_name,group_index
201533089349301428,ReturnHeader,,The date and time when the return was created,2015-11-04T20:09:01-06:00,returnheader990x_part_i.RtrnHdr_RtrnTs,/ReturnHeader/ReturnTs,False,,
201533089349301428,ReturnHeader,,,2014-12-31,returnheader990x_part_i.RtrnHdr_TxPrdEndDt,/ReturnHeader/TaxPeriodEndDt,False,,
201533089349301428,ReturnHeader,,Business name line 1,ERNST & YOUNG US LLP,returnheader990x_part_i.PrprrFrmNm_BsnssNmLn1Txt,/ReturnHeader/PreparerFirmGrp/PreparerFirmName/BusinessNameLine1Txt,False,,
201533089349301428,ReturnHeader,,Address line 1,4370 LA JOLLA VILLAGE DR SUITE 500,returnheader990x_part_i.PrprrUSAddrss_AddrssLn1Txt,/ReturnHeader/PreparerFirmGrp/PreparerUSAddress/AddressLine1Txt,False,,
201533089349301428,ReturnHeader,,City,SAN DIEGO,returnheader990x_part_i.PrprrUSAddrss_CtyNm,/ReturnHeader/PreparerFirmGrp/PreparerUSAddress/CityNm,False,,
201533089349301428,ReturnHeader,,State,CA,returnheader990x_part_i.PrprrUSAddrss_SttAbbrvtnCd,/ReturnHeader/PreparerFirmGrp/PreparerUSAddress/StateAbbreviationCd,False,,
201533089349301428,ReturnHeader,,ZIP code,92122,returnheader990x_part_i.PrprrUSAddrss_ZIPCd,/ReturnHeader/PreparerFirmGrp/PreparerUSAddress/ZIPCd,False,,
201533089349301428,ReturnHeader,,,990,returnheader990x_part_i.RtrnHdr_RtrnCd,/ReturnHeader/ReturnTypeCd,False,,
201533089349301428,ReturnHeader,,,2014-01-01,returnheader990x_part_i.RtrnHdr_TxPrdBgnDt,/ReturnHeader/TaxPeriodBeginDt,False,,
201533089349301428,ReturnHeader,,,941156621,returnheader990x_part_i.Flr_EIN,/ReturnHeader/Filer/EIN,False,,
201533089349301428,ReturnHeader,,Business name line 1,SUTTER HEALTH SACRAMENTO SIERRA REGION,returnheader990x_part_i.BsnssNm_BsnssNmLn1Txt,/ReturnHeader/Filer/BusinessName/BusinessNameLine1Txt,False,,
